Rank,Artist,id,album_id
141,Rick Ross,1sBkRIssrMs1AbVkOJbc7a,4UFckNXSEM0QLxYh0fmIY9
140,Parquet Courts,23NIwARd4vPbxt3wwNnJ6k,6QLvKr5uNyu6fwFXroL8oE
139,Emeralds,45btnwhUWFlR7Op5oTfDPv,0c0XkZh9vWXg473nchoArI
138,Alabama Shakes,16GcWuvvybAoaHr0NqT8Eh,0GaYG9L1sXHQZZ7BTk0hGY
137,A$AP Rocky,13ubrt8QOOCPljQ2FL1Kca,033j4a038P7Uodv9Y2eHZb
136,Tim Hecker,1qiwaJwjKod5WhcYZ76O1B,6Iu8toVsvCc3I4INxYiVIy
135,Fleet Foxes,4EVpmkEwrLYEg6jIsiPMIb,7LKzVm90JnhNMPF6qX21fS
134,M83,63MQldklfxkjYDoUE4Tppz,6R0ynY7RF20ofs9GJR5TXR
133,Frankie Cosmos,0x4xCoWaOFd3WsKarzaxnW,6X0g9HzOXkPfzpgoU4rzbQ
132,Amen Dunes,1jwOuEBcOKq0BeudSarbEM,2H4G8AGta9p8yjgjVI9nZd
131,Run the Jewels,4RnBFZRiMLRyZy0AzzTg2C,4Loc7NtCAo9mypHO6kbviD
130,Tame Impala,5INjqkS1o8h1imAzPqGZBb,3C2MFZ2iHotUQOSBzdSvM7
129,Various Artists,1ak9R23G17KzqPFCNMxVxF,1P8EYmCJmjYhtMhR2H3h4m
128,Radiohead,4Z8W4fKeB5YxbusRsdQVPb,6vuykQgDLUCiZ7YggIpLM9
127,Car Seat Headrest,5PbpKlxQE0Ktl5lcNABoFf,26DseQO366JfXwIP7dIgQj
126,Panda Bear,1R84VlXnFFULOsWWV8IrCQ,1dxMK0PJZ9RyarNPXQQeeP
125,Yves Tumor,0qu422H5MOoQxGjd4IzHbS,1IpYZkYoYCjXTYMDEW8Ksk
124,Real Estate,41SQP16hv1TioVYqdckmxT,7e6bDoD8VD0549bu69UTEF
123,Deafheaven,4XpPveeg7RuYS3CgLo75t9,2kKXGWaCEl06EKZ4DxBJIT
122,Snail Mail,4QkSD9TRUnMtI8Fq1jXJJe,2e48GqjEwCi87gQJanb1bf
121,The Hotelier,3kzNckjE5FzHQhe4pJiLKa,5jfqj3O8WU3755J2OK19rd
120,"Tyler, the Creator",4V8LLVI7PbaPR0K2TGSxFF,2nkto6YNI4rUYTLqEwWJ3o
119,Girlpool,3BYXi96LqI8TwNljFKE0DZ,7KW051jqBSX1pFOyLwIQw7
118,Leonard Cohen,5l8VQNuIg0turYE1VtM9zV,3jeTB3j3QmUs8SPIVleHtU
117,Death Grips,5RADpgYLOuS2ZxDq7ggYYH,1PQDjdBpHPikAodJqjzm6a
116,Janelle Monáe,6ueGR6SWhUJfvEhqkvMsVs,7MvSB0JTdtl1pSwZcgvYQX
115,U.S. Girls,3AHFDfqhSqPBecjQDIOIJA,5mcuyVRQmrRlfFqDDfJI1q
114,Sampha,2WoVwexZuODvclzULjPQtm,2gUSWVHCOerKhJHZRwhVtN
