,Rank,Artist,Album,Year,id,genre,followers,popularity,rank,album_id
27,173,Hurray for the Riff Raff, Small Town Heroes ,2014,2xLEV2jDreAOcpJXFNoXyt,"['alternative country', 'new americana', 'new orleans americana', 'stomp and holler', 'traditional folk']",76004,46,173,2PKIZjQQgHQeDAw5fn35LO
28,172,Popcaan, Where We Come From ,2014,62DmErcU7dqZbJaDqwsqzR,"['dancehall', 'reggae fusion']",418501,69,172,3iZe5yKemYO68gNG9hQ33C
29,171,JPEGMAFIA, Veteran ,2018,6yJ6QQ3Y5l0s0tn7b0arrO,"['alternative hip hop', 'escape room', 'experimental hip hop', 'hip hop', 'industrial hip hop', 'rap', 'underground hip hop']",253264,66,171,51WLEfPEEkzAWurvuY6Gco
30,170,Skee Mask, Compro ,2018,2qwi0hBvI2GrbkurOnw3hZ,"['bass music', 'electronica', 'float house', 'future garage', 'intelligent dance music', 'mandible', 'microhouse', 'munich electronic', 'outsider house', 'wonky']",37942,46,170,3yXIkSJWpudtgF0TZuB16U
31,169,Paramore, After Laughter ,2017,74XFHRwlV6OrjEM0A2NCMF,"['candy pop', 'emo', 'pixie', 'pop emo', 'pop punk']",5271216,78,169,1c9Sx7XdXuMptGyfCB6hHs
32,168,Julianna Barwick, The Magic Place ,2011,0HWfFWL4vVrbaBQqxVCwCi,"['ambient', 'ambient pop', 'art pop', 'chamber psych', 'chillwave', 'compositional ambient', 'drone', 'electra', 'experimental pop', 'fourth world', 'freak folk', 'indie folk', 'indietronica', 'melancholia']",49397,50,168,4JW1OsBRpDNF23lDFPaFQ7
33,167,(Sandy) Alex G, DSU ,2014,6lcwlkAjBPSKnFBZjjZFJs,"['art pop', 'freak folk', 'garage psych', 'indie folk', 'indie garage rock', 'indie pop', 'indie rock', 'philly indie']",120527,58,167,7mcmdIquDOA2QT8h1SSZpg
34,166,Nicki Minaj, The Pinkprint ,2014,0hCNtLu0JehylgoiP8L4Gh,"['dance pop', 'hip pop', 'pop', 'pop rap', 'post-teen pop', 'queens hip hop']",18160171,91,166,1IOHcoY4gPRECxpIhVGmuq
35,165,Jay Som, Everybody Works ,2017,1wmiQ6ytATiGnJs6uFluKO,"['art pop', 'bay area indie', 'chillwave', 'electropop', 'indie folk', 'indie pop', 'indie rock', 'indietronica', 'oakland indie', 'small room']",83187,55,165,1ZMtgC7o6TGbzwkv5SpThU
36,164,Hop Along, Painted Shut ,2015,3yYUV3hkJit05YIUEODqgp,"['alternative emo', 'art pop', 'emo', 'folk punk', 'indie pop', 'indie punk', 'indie rock', 'philly indie']",79957,47,164,16fimHkQtXptYBytXfHfUs
37,163,Meek Mill, Dreamchasers 2 ,2012,20sxb77xiYeusSH8cVdatc,"['hip hop', 'philly rap', 'pop rap', 'rap', 'southern hip hop', 'trap']",4262086,83,163,0kpslw9IHk7EsK40BGUbX9
38,162,Sturgill Simpson, Metamodern Sounds in Country Music ,2014,3vDpQbGnzRbRVirXlfQagB,"['alternative americana', 'indie folk', 'nashville singer-songwriter', 'new americana', 'outlaw country', 'roots rock']",400673,64,162,4makbOuLd5SUdyHMaNM1Ag
39,161,The 1975, I like it when you sleep… ,2016,3mIj9lX2MWuHmhNCA7LSCW,"['indie pop', 'modern alternative rock', 'nu gaze', 'pop', 'rock']",4212329,82,161,1JFmNyVPdBF1ECvv4fhpW4
40,160,Noname, Room 25 ,2018,1EpyA68dKpjf7jXmQL88Hy,"['alternative r&b', 'chicago rap', 'escape room', 'hip hop', 'indie soul', 'neo soul', 'rap', 'underground hip hop']",467069,65,160,3mpA4v2tvEM5aAYtNGnbzD
41,159,Pallbearer, Foundations of Burden ,2014,2yeEmsTQMNHBlS5dhWtuD1,"['doom metal', 'drone metal', 'epic doom', 'post-doom metal', 'psychedelic doom']",56458,40,159,5hcHyM3KYY97gUZzfRlNZb
42,158,Sleigh Bells, Treats ,2010,59pWgeY26Q6yJy37QvJflh,"['alternative dance', 'art pop', 'brooklyn indie', 'dance-punk', 'electropop', 'escape room', 'experimental pop', 'indie pop', 'indie rock', 'indie surf', 'indietronica', 'modern rock', 'new rave', 'noise pop', 'shimmer pop']",218345,50,158,1IWkF6zpOq73txmrYpljIT
43,157,The 1975, A Brief Inquiry Into Online Relationships ,2018,3mIj9lX2MWuHmhNCA7LSCW,"['indie pop', 'modern alternative rock', 'nu gaze', 'pop', 'rock']",4212329,82,157,6PWXKiakqhI17mTYM4y6oY
44,156,Jenny Lewis, The Voyager ,2014,5cMVRrisBpDkXCVG48epED,"['art pop', 'indie folk', 'indie pop', 'indie rock', 'lilith']",138450,52,156,5sCsfubNchaI9RCpP7K7aB
45,155,21 Savage, Savage Mode ,2016,1URnnhqYAYcrqrcwql10ft,"['atl hip hop', 'rap', 'trap']",8154416,85,155,4I3EcXD4e3KcEoDJfFEZ5b
46,154,Mica Levi, Under the Skin OST ,2014,29LOCR81IrdEJjCAeCEOU3,"['british soundtrack', 'soundtrack']",19644,39,154,0MJwS1KqklO8tr95IJAcQA
47,153,Purple Mountains, Purple Mountains ,2019,1ll45mCZIveI9KHNZx2DdS,"['alternative country', 'alternative rock', 'anti-folk', 'freak folk', 'indie rock', 'lo-fi', 'modern power pop', 'slowcore']",30384,44,153,6YM4MpYgz6BhIeqQkxp3u4
48,152,Arctic Monkeys, AM ,2013,7Ln80lUS6He07XvHI8qqHH,"['garage rock', 'modern rock', 'permanent wave', 'rock', 'sheffield indie']",9433087,83,152,78bpIziExqiI9qztvNFlQu
49,151,Lady Gaga, The Fame Monster ,2009,1HY2Jd0NmPuamShAr6KMms,"['dance pop', 'pop']",12722855,92,151,6rePArBMb5nLWEaY9aQqL4
50,150,Playboi Carti, Playboi Carti ,2017,699OTQXzgjhIYAHMy9RyPD,"['atl hip hop', 'hip hop', 'rap', 'trap', 'underground hip hop']",3757999,83,150,4rJgzzfFHAVFhCSt2P4I3j
51,149,Mac DeMarco, 2 ,2012,3Sz7ZnJQBIHsXLUSo0OQtM,['edmonton indie'],1537483,75,149,7x6wYKbZUU2BL3N8ZWwM3q
52,148,Nicolas Jaar, Space Is Only Noise ,2011,5a0etAzO5V26gvlbmHzT9W,"['downtempo', 'electronica', 'microhouse']",545680,60,148,0tUJcqDuXHNkaPKLN0lQhT
53,147,The National, High Violet ,2010,2cCUtGK9sDU2EoElnk0GNB,"['indie rock', 'modern rock']",1203648,69,147,59gXPxZ8CwFaeknPxtxXHZ
54,146,Sheer Mag, Compilation ,2017,58ehndX799ZV9Jcv6IefJ1,"['garage psych', 'indie punk', 'indie rock', 'philly indie']",30251,38,146,0QKFT4xWEigQjzJaAc1PPP
55,145,Chief Keef, Finally Rich ,2012,15iVAtD3s3FsQR4w1v6M0P,"['chicago drill', 'chicago rap', 'drill', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap', 'underground hip hop', 'vapor trap']",2174320,74,145,6QqAHD3NjGCkrS9tPPyHET
56,144,PJ Harvey, Let England Shake ,2011,12VaqyEhgwDRuFfEqbnrpz,"['alternative rock', 'art pop', 'art rock', 'chamber psych', 'indie rock', 'lilith', 'melancholia', 'permanent wave', 'piano rock', 'rock', 'singer-songwriter']",627460,61,144,2f8Rfpdol5jrJe3OL4YH6k
57,143,Weyes Blood, Titanic Rising ,2019,3Uqu1mEdkUJxPe7s31n1M9,"['art pop', 'experimental folk', 'freak folk', 'indie pop', 'indie rock']",134143,59,143,53VKICyqCf91sVkTdFrzKX
58,142,Fennesz, Agora ,2019,2DoQBgPsB9AdmWpIa2hUSz,"['ambient', 'art pop', 'compositional ambient', 'drone', 'dub techno', 'electroacoustic improvisation', 'experimental', 'experimental guitar', 'fourth world', 'freak folk', 'glitch', 'intelligent dance music', 'mandible', 'microhouse', 'slowcore']",40840,39,142,7JpOsq1F2A9aPr2fdacsOk
59,141,Rick Ross, Rich Forever ,2012,1sBkRIssrMs1AbVkOJbc7a,"['dirty south rap', 'gangster rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",4108674,82,141,4UFckNXSEM0QLxYh0fmIY9
60,140,Parquet Courts, Sunbathing Animal ,2014,23NIwARd4vPbxt3wwNnJ6k,"['alternative rock', 'brooklyn indie', 'denton tx indie', 'freak folk', 'garage psych', 'indie garage rock', 'indie rock', 'modern rock', 'neo-psychedelic', 'noise pop']",192703,57,140,6QLvKr5uNyu6fwFXroL8oE
61,139,Emeralds, Does It Look Like I’m Here? ,2010,45btnwhUWFlR7Op5oTfDPv,"['ambient', 'berlin school', 'cleveland indie', 'drone', 'hauntology']",11529,25,139,0c0XkZh9vWXg473nchoArI
62,138,Alabama Shakes, Sound & Color ,2015,16GcWuvvybAoaHr0NqT8Eh,"['alabama indie', 'indie rock', 'modern blues rock', 'rock']",1348540,65,138,0GaYG9L1sXHQZZ7BTk0hGY
63,137,A$AP Rocky, LIVE.LOVE.A$AP ,2011,13ubrt8QOOCPljQ2FL1Kca,"['east coast hip hop', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",7456812,85,137,033j4a038P7Uodv9Y2eHZb
64,136,Tim Hecker," Ravedeath, 1972 ",2011,1qiwaJwjKod5WhcYZ76O1B,"['ambient', 'art pop', 'canadian experimental', 'compositional ambient', 'drift', 'drone', 'dub techno', 'electronica', 'experimental', 'fourth world', 'freak folk', 'intelligent dance music', 'microhouse', 'new isolationism', 'warm drone']",87100,46,136,6Iu8toVsvCc3I4INxYiVIy
65,135,Fleet Foxes, Helplessness Blues ,2011,4EVpmkEwrLYEg6jIsiPMIb,"['chamber pop', 'freak folk', 'indie folk', 'indie pop', 'indie rock', 'modern rock', 'seattle indie', 'stomp and holler']",983719,66,135,7LKzVm90JnhNMPF6qX21fS
66,134,M83," Hurry Up, We’re Dreaming ",2011,63MQldklfxkjYDoUE4Tppz,"['french shoegaze', 'metropopolis', 'neo-synthpop']",1741680,73,134,6R0ynY7RF20ofs9GJR5TXR
67,133,Frankie Cosmos, Zentropy ,2014,0x4xCoWaOFd3WsKarzaxnW,"['bedroom pop', 'indie garage rock', 'indie pop', 'indie rock']",162503,53,133,6X0g9HzOXkPfzpgoU4rzbQ
68,132,Amen Dunes, Freedom ,2018,1jwOuEBcOKq0BeudSarbEM,"['art pop', 'chamber psych', 'freak folk', 'garage psych', 'indie folk', 'indie rock', 'modern psychedelic folk', 'neo-psychedelic', 'popgaze']",49175,48,132,2H4G8AGta9p8yjgjVI9nZd
69,131,Run the Jewels, Run the Jewels 2 ,2014,4RnBFZRiMLRyZy0AzzTg2C,"['hip hop', 'political hip hop']",754195,75,131,4Loc7NtCAo9mypHO6kbviD
70,130,Tame Impala, Lonerism ,2012,5INjqkS1o8h1imAzPqGZBb,"['australian psych', 'neo-psychedelic']",3911148,82,130,3C2MFZ2iHotUQOSBzdSvM7
71,129,Various Artists, Bangs and Works Vol. 1: A Chicago Footwork Compilation ,2010,0LyfQWJT6nXafLPZqxe9Of,[],1783,0,129,1P8EYmCJmjYhtMhR2H3h4m
72,128,Radiohead, A Moon Shaped Pool ,2016,4Z8W4fKeB5YxbusRsdQVPb,"['alternative rock', 'art rock', 'melancholia', 'oxford indie', 'permanent wave', 'rock']",5293673,80,128,6vuykQgDLUCiZ7YggIpLM9
73,127,Car Seat Headrest, Teens of Denial ,2016,5PbpKlxQE0Ktl5lcNABoFf,"['alternative rock', 'anti-folk', 'art pop', 'indie pop', 'indie punk', 'indie rock']",270843,63,127,26DseQO366JfXwIP7dIgQj
74,126,Panda Bear, Tomboy ,2011,1R84VlXnFFULOsWWV8IrCQ,"['alternative dance', 'art pop', 'chillwave', 'collage pop', 'experimental pop', 'freak folk', 'indie pop', 'indie rock', 'indietronica', 'noise pop', 'nu gaze']",158087,54,126,1dxMK0PJZ9RyarNPXQQeeP
75,125,Yves Tumor, Safe in the Hands of Love ,2018,0qu422H5MOoQxGjd4IzHbS,"['art pop', 'chamber psych', 'electropop', 'escape room', 'experimental pop', 'freak folk', 'hyperpop', 'indie r&b', 'indietronica']",93693,58,125,1IpYZkYoYCjXTYMDEW8Ksk
76,124,Real Estate, Days ,2011,41SQP16hv1TioVYqdckmxT,"['art pop', 'chillwave', 'freak folk', 'indie pop', 'indie rock', 'indietronica', 'lo-fi', 'new jersey indie', 'nu gaze', 'shimmer pop']",334087,59,124,7e6bDoD8VD0549bu69UTEF
77,123,Deafheaven, Sunbather ,2013,4XpPveeg7RuYS3CgLo75t9,"['atmospheric black metal', 'blackgaze', 'post-metal', 'usbm']",128712,45,123,2kKXGWaCEl06EKZ4DxBJIT
78,122,Snail Mail, Lush ,2018,4QkSD9TRUnMtI8Fq1jXJJe,"['art pop', 'baltimore indie', 'indie pop', 'indie rock']",182682,56,122,2e48GqjEwCi87gQJanb1bf
79,121,The Hotelier," Home, Like Noplace Is There ",2014,3kzNckjE5FzHQhe4pJiLKa,"['alternative emo', 'anthem emo', 'emo', 'indie punk', 'indie rock', 'midwest emo', 'new england emo', 'worcester ma indie']",58329,45,121,5jfqj3O8WU3755J2OK19rd
80,120,"Tyler, the Creator", Flower Boy ,2017,4V8LLVI7PbaPR0K2TGSxFF,"['hip hop', 'rap']",4743019,84,120,2nkto6YNI4rUYTLqEwWJ3o
81,119,Girlpool, Before the World Was Big ,2015,3BYXi96LqI8TwNljFKE0DZ,"['anti-folk', 'art pop', 'indie punk', 'indie rock']",90439,47,119,7KW051jqBSX1pFOyLwIQw7
82,118,Leonard Cohen, You Want It Darker ,2016,5l8VQNuIg0turYE1VtM9zV,"['canadian singer-songwriter', 'folk', 'folk rock', 'melancholia', 'permanent wave', 'singer-songwriter']",1953600,70,118,3jeTB3j3QmUs8SPIVleHtU
83,117,Death Grips, The Money Store ,2012,5RADpgYLOuS2ZxDq7ggYYH,"['alternative hip hop', 'escape room', 'experimental hip hop', 'hip hop', 'industrial hip hop']",476235,63,117,1PQDjdBpHPikAodJqjzm6a
84,116,Janelle Monáe, The ArchAndroid ,2010,6ueGR6SWhUJfvEhqkvMsVs,"['afrofuturism', 'alternative r&b', 'art pop', 'atl hip hop', 'dance pop', 'electropop', 'escape room', 'neo soul', 'pop', 'r&b']",924448,71,116,7MvSB0JTdtl1pSwZcgvYQX
85,115,U.S. Girls, In a Poem Unlimited ,2018,3AHFDfqhSqPBecjQDIOIJA,"['alternative dance', 'art pop', 'chamber psych', 'chillwave', 'electropop', 'experimental pop', 'freak folk', 'indie rock', 'indietronica']",59284,48,115,5mcuyVRQmrRlfFqDDfJI1q
86,114,Sampha, Process ,2017,2WoVwexZuODvclzULjPQtm,"['indie r&b', 'indie soul']",432596,64,114,2gUSWVHCOerKhJHZRwhVtN
87,113,Japandroids, Celebration Rock ,2012,2WcCoPxAWFNSCvsFPrpf30,"['canadian indie', 'indie punk', 'indie rock', 'modern alternative rock', 'modern rock', 'noise pop', 'noise rock', 'vancouver indie', 'vancouver punk']",105493,44,113,2sY9WYVH022ulyAYaqvXLW
88,112,Daft Punk, Random Access Memories ,2013,4tZwfgrHOc3mvqYlEYSvVi,"['electro', 'filter house']",6456556,82,112,4m2880jivSbbyEGAKfITCa
89,111,EMA, Past Life Martyred Saints ,2011,0MT8Af4BlhE02l91O6cfyQ,['south dakota indie'],17077,25,111,6S6Mlvc34kyGllnR4EF75o
90,110,Waka Flocka Flame, Flockaveli ,2010,6f4XkbvYlXMH0QgVRzW0sM,"['atl hip hop', 'dirty south rap', 'gangster rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",1938507,69,110,6MQtWELG7aRX7CkAzQ6nLM
91,109,Julia Holter, Aviary ,2018,0bsV0sUjnCuCTYOnNHQl3E,"['art pop', 'art rock', 'chamber psych', 'chillwave', 'collage pop', 'electra', 'escape room', 'experimental pop', 'freak folk', 'indie rock', 'la indie', 'slowcore']",87135,44,109,6icpwcJQWK4nq9Xilk4yRu
92,108,Kaytranada, 99.9% ,2016,6qgnBH6iDM91ipVXv28OMu,"['escape room', 'indie soul', 'lgbtq+ hip hop']",692293,73,108,1dZZh7PvVgce1DDsDPzy8Z
93,107,Dirty Projectors, Swing Lo Magellan ,2012,5VF0YkVLeVD4ytyiyVSIiF,"['art pop', 'brooklyn indie', 'chillwave', 'experimental pop', 'freak folk', 'indie folk', 'indie pop', 'indie rock', 'indietronica']",207440,55,107,5zQgu9qi6mK8KuleuzM22C
94,106,Moses Sumney, Aromanticism ,2017,5W10uJRsbt9bROJDKoI1Wn,"['alternative r&b', 'art pop', 'escape room', 'indie r&b', 'indie soul', 'la pop', 'neo soul']",200862,62,106,30WjNaR79shSTGB52IJTw0
95,105,Disclosure, Settle ,2013,6nS5roXSAGhTGr34W6n7Et,"['house', 'pop', 'tropical house', 'uk dance']",1765320,80,105,1lM5IfaqcIsXd6UCV3aDSs
96,104,Waxahatchee, Cerulean Salt ,2013,5IWCU0V9evBlW4gIeGY4zF,"['alabama indie', 'art pop', 'electropop', 'freak folk', 'indie folk', 'indie pop', 'indie punk', 'indie rock', 'stomp and holler']",101020,59,104,3OZKwBjWkgCTD1QiriMhuY
97,103,Helado Negro, This Is How You Smile ,2019,69qhRLDvsWJOhWGXXQ0lQQ,"['art pop', 'deep latin alternative', 'freak folk']",66373,53,103,17LsQV3q3cgTBrat3D5JSv
98,102,Jeremih, Late Nights: The Album ,2015,3KV3p5EY4AvKxOlhGHORLg,"['chicago rap', 'dance pop', 'pop', 'pop rap', 'r&b', 'southern hip hop', 'trap', 'urban contemporary']",4389244,81,102,7DMyQuDPe8xzjC0UDSDa96
99,101,Chromatics, Kill for Love ,2012,4tOVIRjlWWfR1RrAxyRqTE,"['alternative dance', 'art pop', 'chillwave', 'electronica', 'electropop', 'indie pop', 'indietronica', 'modern dream pop', 'neo-synthpop', 'new rave']",287928,60,101,2Fp5KBgyC0ac2oitVlsJhY
100,100,Ariana Grande, Sweetener ,2018,66CXWjxzNUsdJxJ2JdwvnR,"['dance pop', 'pop', 'post-teen pop']",48176927,94,100,3tx8gQqWbGwqIGZHqDNrGe
101,99,Bad Bunny, X 100PRE ,2018,4q3ewBCX7sLwd24euuV69X,"['latin', 'reggaeton', 'trap latino']",23130092,97,99,7CjJb2mikwAWA1V6kewFBF
102,98,Todd Terje, It’s Album Time ,2014,49gaZqfow2v8EEQmjGyEIw,"['alternative dance', 'balearic', 'deep house', 'electronica', 'new rave', 'norwegian space disco', 'nu disco']",188068,54,98,4pefQ21iSk8hdnxw3WSB5Y
103,97,The War on Drugs, Lost in the Dream ,2014,6g0mn3tzAds6aVeUYRsryU,"['indie rock', 'modern rock', 'philly indie']",599619,63,97,14xxjLlbGy8ACm4MorBjD5
104,96,Low, Double Negative ,2018,0wz0jO9anccPzH04N7FLBH,"['alternative rock', 'art pop', 'chamber psych', 'dream pop', 'duluth indie', 'freak folk', 'melancholia', 'slowcore']",144115,51,96,1zTkgOHx3mjrUvrhxq4osf
105,95,Jai Paul, Leak 04-13 (Bait Ones) ,2019,53wZLCnhshZKDRs3uopFBc,"['art pop', 'chillwave', 'electronica', 'electropop', 'escape room', 'indie r&b', 'indie soul', 'indietronica']",129775,55,95,6Wsai43KQmmKlN29AWlXFr
106,94,Vampire Weekend, Contra ,2010,5BvJzeQpmsdsFp4HGUYUEx,"['baroque pop', 'indie pop', 'indie rock', 'modern rock', 'rock']",1586365,72,94,23dMwCv6redn6pcyliSlGk
107,93,Tirzah, Devotion ,2018,6f5lOlSFJw9K79gaNnmWAd,"['alternative r&b', 'art pop', 'chamber psych', 'electra', 'electronica', 'electropop', 'escape room', 'experimental pop', 'indie r&b', 'indie soul', 'uk contemporary r&b']",52748,52,93,15GocbF7ybkkPP03YXtLqv
108,92,JAY-Z, Watch the Throne ,2011,3nFkdlSjzX9mRTtwJOzDYB,"['east coast hip hop', 'hip hop', 'pop rap', 'rap']",5440745,85,92,2P2Xwvh2xWXIZ1OWY9S9o5
109,91,Bon Iver," 22, A Million ",2016,4LEiUm1SRbFMgfqnQTwUbQ,"['eau claire indie', 'indie folk', 'melancholia', 'slowcore']",2664676,76,91,1PgfRdl3lPyACfUGH4pquG
110,90,Joyce Manor, Never Hungover Again ,2014,7qbvNcfTfckhCNM8NiR8nN,"['alternative emo', 'emo', 'indie garage rock', 'indie punk', 'indie rock']",128105,54,90,6cPoZUF1MLvQvXkfDGHwsf
111,89,Caribou, Our Love ,2014,4aEnNH9PuU1HF3TsZTru54,"['alternative dance', 'chillwave', 'electronica', 'electropop', 'folktronica', 'indie rock', 'indie soul', 'indietronica', 'intelligent dance music', 'new rave']",486523,65,89,5r4nz5LZHeGUcZCrWbfWkx
112,88,Jenny Hval," Apocalypse, girl ",2015,5eerVxtb9lY9p6D7m89Bs7,"['art pop', 'chamber psych', 'electra', 'escape room', 'experimental pop', 'freak folk', 'norwegian experimental']",44249,40,88,3AeAZfwBgnhmbNEowNFvcB
113,87,Rae Sremmurd, SremmLife ,2015,7iZtZyCzp3LItcw1wtPI3D,"['hip hop', 'melodic rap', 'mississippi hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",5935348,78,87,6eDx949ONWDCN0O22wFZf7
114,86,Haim, Days Are Gone ,2013,4Ui2kfOqGujY81UcPrb5KE,"['dance pop', 'indie pop', 'metropopolis', 'pop', 'pop rock', 'rock']",944730,75,86,729Vh0HApsm7hGDVjbmtrf
115,85,Jessica Pratt, On Your Own Love Again ,2015,5KTykbPcDB4GYS49jcHbWh,"['ambient folk', 'art pop', 'chamber psych', 'freak folk', 'indie folk', 'indie rock']",47010,48,85,4plpT2Idnip2akI8c9LQP7
